season,team,conference,totalPlays,passingPlays,rushingPlays
2004,Air Force,Mountain West,147,33.0,110.00000000000001
2004,Akron,Mid-American,131,70.0,55.0
2004,Alabama,SEC,677,224.0,434.0
2004,Arizona,Pac-12,681,314.0,354.00000000000006
2004,Arizona State,Pac-12,823,429.0,370.0
2004,Arkansas,SEC,699,279.0,406.0
2004,Arkansas State,Sun Belt,268,140.0,120.0
2004,Army,FBS Independents,67,30.0,34.0
2004,Auburn,SEC,753,279.0,452.0
2004,Ball State,Mid-American,175,81.0,91.0
2004,Baylor,Big 12,720,385.0,319.0
2004,Boise State,Mountain West,757,301.0,436.00000000000006
2004,Boston College,ACC,843,422.00000000000006,398.0
2004,Bowling Green,Mid-American,199,98.0,97.0
2004,Buffalo,Mid-American,119,51.0,64.0
2004,BYU,FBS Independents,266,157.0,104.0
2004,California,Pac-12,790,308.0,452.99999999999994
2004,Central Michigan,Mid-American,137,74.0,62.0
2004,Cincinnati,American Athletic,365,155.0,195.0
2004,Clemson,ACC,639,328.0,296.0
2004,Colorado,Pac-12,777,379.0,378.0
2004,Colorado State,Mountain West,268,140.0,121.0
2004,Connecticut,American Athletic,835,447.00000000000006,370.0
2004,Duke,ACC,617,284.0,317.0
2004,East Carolina,American Athletic,278,151.0,120.0
2004,Eastern Michigan,Mid-American,77,39.99999999999999,34.0
2004,Florida,SEC,699,344.0,338.0
2004,Florida State,ACC,756,372.0,363.0
2004,Fresno State,Mountain West,392,171.0,209.0
2004,Georgia,SEC,717,304.0,390.0
2004,Georgia Southern,Sun Belt,76,13.0,58.0
2004,Georgia Tech,ACC,795,352.0,427.0
2004,Hawai'i,Mountain West,271,190.0,73.0
2004,Houston,American Athletic,208,103.0,97.0
2004,Illinois,Big Ten,720,347.0,358.0
2004,Indiana,Big Ten,677,276.0,379.0
2004,Iowa,Big Ten,719,343.0,356.0
2004,Iowa State,Big 12,855,360.0,476.99999999999994
2004,Kansas,Big 12,771,406.0,342.0
2004,Kansas State,Big 12,682,280.0,382.99999999999994
2004,Kent State,Mid-American,138,86.0,48.0
2004,Kentucky,SEC,635,326.99999999999994,294.0
2004,Louisiana,Sun Belt,50,18.0,30.0
2004,Louisiana Monroe,Sun Belt,127,54.0,67.0
