season,team,conference,totalPlays,passingPlays,rushingPlays
2004,Air Force,Mountain West,134,27.0,103.0
2004,Akron,Mid-American,81,46.0,31.0
2004,Alabama,SEC,614,210.0,386.99999999999994
2004,Arizona,Pac-12,645,300.0,333.0
2004,Arizona State,Pac-12,725,384.99999999999994,321.0
2004,Arkansas,SEC,612,248.0,351.0
2004,Arkansas State,Sun Belt,224,121.0,97.0
2004,Army,FBS Independents,42,16.0,24.0
2004,Auburn,SEC,656,259.0,380.0
2004,Ball State,Mid-American,125,61.0,61.0
2004,Baylor,Big 12,606,315.0,279.0
2004,Boise State,Mountain West,686,280.0,388.0
2004,Boston College,ACC,833,413.0,397.0
2004,Bowling Green,Mid-American,174,96.0,74.0
2004,Buffalo,Mid-American,102,44.0,54.0
2004,BYU,FBS Independents,230,134.0,92.0
2004,California,Pac-12,711,296.0,393.0
2004,Central Michigan,Mid-American,119,60.0,58.0
2004,Cincinnati,American Athletic,304,139.0,154.0
2004,Clemson,ACC,629,327.0,287.0
2004,Colorado,Pac-12,706,339.0,349.0
2004,Colorado State,Mountain West,215,113.0,97.0
2004,Connecticut,American Athletic,752,409.00000000000006,328.0
2004,Duke,ACC,581,264.0,302.0
2004,East Carolina,American Athletic,190,102.0,83.0
2004,Eastern Michigan,Mid-American,51,29.0,20.0
2004,Florida,SEC,651,329.0,308.0
2004,Florida State,ACC,733,364.0,349.0
2004,Fresno State,Mountain West,378,165.0,202.0
2004,Georgia,SEC,649,278.0,349.0
2004,Georgia Southern,Sun Belt,64,10.0,49.0
2004,Georgia Tech,ACC,728,334.0,379.0
2004,Hawai'i,Mountain West,240,166.0,66.0
2004,Houston,American Athletic,158,76.0,77.0
2004,Illinois,Big Ten,673,331.0,329.0
2004,Indiana,Big Ten,617,249.0,347.99999999999994
2004,Iowa,Big Ten,651,325.0,308.0
2004,Iowa State,Big 12,814,342.0,454.0
2004,Kansas,Big 12,710,380.99999999999994,308.0
2004,Kansas State,Big 12,661,271.0,371.00000000000006
2004,Kent State,Mid-American,127,81.0,43.0
2004,Kentucky,SEC,579,287.0,280.0
2004,Louisiana,Sun Belt,50,18.0,30.0
2004,Louisiana Monroe,Sun Belt,90,42.0,45.0
2004,Louisiana Tech,Conference USA,238,111.0,121.0
2004,Louisville,ACC,530,229.0,288.0
2004,LSU,SEC,641,258.0,366.0
2004,Marshall,Conference USA,181,97.0,79.0
2004,Maryland,Big Ten,685,298.0,368.0
2004,Memphis,American Athletic,286,144.0,136.0
2004,Miami,ACC,625,323.0,288.0
2004,Miami (OH),Mid-American,116,83.0,33.0
2004,Michigan,Big Ten,769,364.0,382.0
2004,Michigan State,Big Ten,794,347.0,422.0
2004,Middle Tennessee,Conference USA,53,32.0,20.0
2004,Minnesota,Big Ten,643,219.99999999999997,403.00000000000006
2004,Mississippi State,SEC,613,248.0,343.0
2004,Missouri,SEC,739,333.0,385.0
2004,Navy,American Athletic,215,32.0,175.0
2004,NC State,ACC,715,334.0,367.0
2004,Nebraska,Big Ten,607,283.0,312.0
2004,Nevada,Mountain West,54,36.0,16.0
2004,New Mexico,Mountain West,308,138.0,164.0
2004,New Mexico State,FBS Independents,80,37.0,39.0
2004,North Carolina,ACC,711,301.0,390.0
2004,Northern Illinois,Mid-American,216,87.0,121.00000000000001
2004,North Texas,Conference USA,182,83.0,92.0
2004,Northwestern,Big Ten,861,429.0,406.0
2004,Notre Dame,FBS Independents,600,265.0,322.0
2004,Ohio,Mid-American,134,71.0,59.0
2004,Ohio State,Big Ten,678,292.0,370.0
2004,Oklahoma,Big 12,723,292.0,413.0
2004,Oklahoma State,Big 12,662,170.00000000000003,473.0
2004,Ole Miss,SEC,747,334.0,393.0
2004,Oregon,Pac-12,714,347.0,351.0
2004,Oregon State,Pac-12,825,481.0,318.0
2004,Penn State,Big Ten,579,302.0,264.0
2004,Pittsburgh,ACC,713,348.0,343.0
2004,Purdue,Big Ten,708,395.99999999999994,299.0
